AADI	cfatz2
AALI	bn8zk2
ABBA	bkf9ec
ABDA	bkf9h7
ABMM	bkf9k2
ACES	bn8zyc
ACRO	cc48gh
ACST	bkf9pr
ADCP	c59mf2
ADES	bkf9sm
ADHI	bn9127
ADMF	bkf9yc
ADMG	bn9152
ADMR	c4pl52
ADRO	bn917w
AEGS	carobh
AGAR	bsu9xm
AGII	bkfa7w
AGRO	bkfaar
AGRS	bkfadm
AHAP	bkfagh
AIMS	bkfajc
AISA	bkfam7
AKKU	bkfctc
AKPI	bkfcw7
AKRA	bkfcz2
AKSI	bkfd2w
ALDO	bkfd5r
ALII	ccanzr
ALKA	bkfd8m
ALMI	bkfdbh
ALTO	bkfdec
AMAG	bkfchw
AMAN	btysar
AMAR	btf6a2
AMFG	bkfckr
AMIN	bkfcnm
AMMN	ca993m
AMMS	c6yaw7
AMOR	btfbw7
AMRT	bkfcqh
ANDI	bgrwf2
ANJT	bkfem7
ANTM	bn8zmw
APEX	bkferw
APIC	bkfeur
APII	bkfexm
APLI	bkff1h
APLN	bkff4c
ARCI	c2il1h
AREA	ccsom7
ARGO	bkff77
ARII	bkffa2
ARKA	bqtwtc
ARKO	c6qaqh
ARNA	bkfffr
ARTA	bkffim
ARTO	bkffoc
ASBI	bkffzr
ASDM	bkfg3m
ASGR	bkfg6h
ASHA	c6a3yc
ASII	bn91gh
ASJT	bkfgc7
ASLC	c4xl52
ASLI	cc41ww
ASMI	bkfgf2
ASPI	btr8pr
ASPR	chbyjc
ASRI	bkfghw
ASRM	bkfgkr
ASSA	bkfgnm
ATAP	bwzup2
ATIC	bkffr7
ATLA	ccwjvh
AUTO	bkffu2
AVIA	c4bepr
AWAN	c9f9yc
AXIO	c6v4pr
AYAM	cbkfkr
AYLS	btox8m
BABP	bkfgqh
BABY	carnqh
BACA	bkfgtc
BAIK	ccbzar
BAJA	bkfgw7
BALI	bkfgz2
BANK	bxjrc7
BAPA	bkfh2w
BAPI	breeur
BATA	bkflyc
BATR	cddzvh
BAUT	c4xpm7
BAYU	bkfm27
BBCA	bn91jc
BBHI	bkfm7w
BBKP	bkfmar
BBLD	bkfmdm
BBMD	bkfmgh
BBNI	bn91m7
BBRI	bn91p2
BBRM	bkfmrw
BBSI	bvpgvh
BBSS	bu9cqh
BBTN	bkfmur
BBYB	bkfmxm
BCAP	bkfn1h
BCIC	bgt4rw
BCIP	bkfn4c
BDKR	c8zmyc
BDMN	bn91rw
BEBS	bzv7ar
BEEF	bokavh
BEER	c8if77
BEKS	bkfna2
BELI	c7svnm
BELL	bkfncw
BESS	btyakr
BEST	bkfh5r
BFIN	bkfh8m
BGTG	bkfhbh
BHAT	bua6k2
BHIT	bkfhec
BIKE	c5iucw
BIMA	bkfkz2
BINA	bn92u2
BINO	c45tp2
BIPI	bn92ww
BIPP	bkfl8m
BIRD	bkflbh
BISI	bn92zr
BJBR	bkflh7
BJTM	bn936h
BKDP	bkflmw
BKSL	bkflpr
BKSW	bkflsm
BLES	cdlvh7
BLOG	chc7m7
BLTA	bgt5u2
BLTZ	bkflvh
BLUE	bqrgar
BMAS	bkfoqh
BMBL	c8isqh
BMHS	c2md4c
BMRI	bn939c
BMSR	bkfow7
BMTR	bkfoz2
BNBA	bkfp2w
BNBR	bn93c7
BNGA	bkfp8m
BNII	bn93f2
BNLI	bn93hw
BOAT	cf4yu2
BOBA	c3wioc
BOGA	bkfph7
BOLA	bqe3p2
BOLT	bkfpk2
BPFI	bkfppr
BPII	bkfpsm
BPTR	bgth1h
BRAM	bkfpvh
BREN	cb1ra2
BRIS	bgtha2
BRMS	bn924c
BRNA	bkfq27
BRPT	bn9277
BRRC	cflfa2
BSBK	c7svhw
BSDE	bkfq7w
BSIM	bn92a2
BSML	c4is3m
BSSR	bkfqdm
BSWD	bkfqgh
BTEK	bkfqjc
BTON	bkfqp2
BTPN	bkfqrw
BTPS	bgtwjc
BUAH	c71dyc
BUDI	bkfqur
BUKA	c2wgkr
BUKK	bkfqxm
BULL	bkfnu2
BUMI	bn92fr
BUVA	bkfnzr
BVIC	bkfo3m
BWPT	bn92im
BYAN	bn92lh
CAKK	bne4c7
CAMP	bkfoc7
CANI	bkfof2
CARE	btysdm
CARS	bkfohw
CASA	bkfokr
CASH	bufc7w
CASS	bkfonm
CBDK	cflejc
CBPE	c8ipmw
CBRE	c8ifww
CBUT	c7sxgh
CCSI	bqh6ar
CDIA	chdaw7
CEKA	bkfkqh
CENT	bkfktc
CFIN	bkfkw7
CGAS	cc45zr
CHEK	chddzr
CHEM	c6qahw
CHIP	c8qlmw
CINT	bkfnfr
CITA	bkfnim
CITY	bjs6w7
CLAY	bona52
CLEO	bkfnoc
CLPI	bkfnr7
CMNP	bn93kr
CMNT	c3bxcw
CMPP	bkgku2
CMRY	c4b81h
CNKO	bkgkzr
CNMA	cagkkr
COAL	c78lp2
COCO	bpfy1h
COIN	chc7p2
